SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head b63cab47d4b0861c1f2f94d77c45229b70de35e3
unit mid_cover_11_51_205_4
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 51 205/4
t_domain 3/5 1276053007/410000000
cache_entries 259
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 66 15266583077/6560000000 245295382239/104960000000 upper [-9.5232919478592864942186381725605991066507943123164000252998536593356749121241173e-36 +/- 3.51e-116]
trow 67 245295382239/104960000000 123162717623/52480000000 upper [-5.5090753763436196670299979793146119764001411306632463292509592153214665707072934e-36 +/- 4.92e-116]
trow 68 123162717623/52480000000 247355488253/104960000000 upper [-3.1799359295327187547580158364615528686379340903373932150342929406187079237502366e-36 +/- 1.36e-116]
trow 69 247355488253/104960000000 12419277063/5248000000 upper [-1.8314986883651843209912480167147441037308088784452236625899101128055024630751173e-36 +/- 3.90e-116]
trow 70 12419277063/5248000000 249415594267/104960000000 upper [-1.0525535550418494677815337286325977572107624160407394566019745716736186908178924e-36 +/- 2.66e-116]
trow 71 249415594267/104960000000 125222823637/52480000000 upper [-6.0357557336327594811654905410111606883645359274678811120536559514153516966678462e-37 +/- 4.30e-117]
trow 72 125222823637/52480000000 251475700281/104960000000 upper [-3.4535856442131510974084080630011878228607764354632596075852900072248853868629155e-37 +/- 3.68e-117]
trow 73 251475700281/104960000000 31563219161/13120000000 upper [-1.9717885552349268150534264590294775792251244213168547592234621970304028620816424e-37 +/- 4.40e-117]
trow 74 31563219161/13120000000 50707161259/20992000000 upper [-1.1233178099373561049279271518806320518962608829688062608787191534055573302605387e-37 +/- 4.03e-117]
trow 75 50707161259/20992000000 127282929651/52480000000 upper [-6.3855423814673108983817121876749686665115135104781886536002121163118241477251673e-38 +/- 3.44e-118]
trow 76 127282929651/52480000000 255595912309/104960000000 upper [-3.6219807040320558630524103022518359918846193585936635825076581462585381088558716e-38 +/- 3.19e-118]
trow 77 255595912309/104960000000 64156491329/26240000000 upper [-2.0499761616433537720130460432191793503147183351705102661623864595927260735015465e-38 +/- 1.07e-118]
trow 78 64156491329/26240000000 257656018323/104960000000 upper [-1.1577267331527417145161426123892406397755762349064827475823535483801547175227312e-38 +/- 4.86e-118]
trow 79 257656018323/104960000000 25868607133/10496000000 upper [-6.5240668427634074375295455276282630852759305317036465392406480919179799850762874e-39 +/- 1.10e-119]
trow 80 25868607133/10496000000 259716124337/104960000000 upper [-3.6684811726924374217013546335917874725237876501395528331452080727574788097453532e-39 +/- 7.6e-122]
trow 81 259716124337/104960000000 4074159021/1640000000 upper [-2.0583058298768957203583903266596774930514839910598250702883698155520234082141702e-39 +/- 2.26e-119]
trow 82 4074159021/1640000000 261776230351/104960000000 upper [-1.1523654477049536689365317332233028314867085424237945916567909485958248120583535e-39 +/- 3.98e-119]
trow 83 261776230351/104960000000 131403141679/52480000000 upper [-6.4376488943636747009607191181733392876493504124022987598377211199735881482429122e-40 +/- 3.71e-120]
trow 84 131403141679/52480000000 52767267273/20992000000 upper [-3.5885697618198537865615728592290631059482714936587601948412868775034336044973721e-40 +/- 1.29e-120]
