SCALED BULK SIGN ROW UNIT82 TERMINAL ORDER30 SLICE
python 3.12.6
python_flint 0.9.0
arb_bits 220
git_head 5af9e9c8b4f6b62b967552ffa01920fddf9194fc
unit slice3
config CWIN 3/2 beta_order 30 t_order 35 min_dt 1/100000 prec 220
beta_domain 1103/16 69
t_domain 3/5 717566321/230000000
dependency scripts/run_surface_g2_unit82_terminal_slice.py sha256 0bb37f799e1547ee1ef5964e67aea0bf2ad62546f031f7e5a02341c5c4a40cbe
dependency scripts/run_surface_scaled_bulk_cwin3p2_unit82_rescue_order30_slice.py sha256 823936a50539062514b4f5901add0f05d0bc3b3e35c4a1ec6c19fadab19c57b9
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
trow 79 133274708249/58880000000 13385427457/5888000000 upper [-4.9820490282007081799924852683087423424045728226002883886461338903933930034989267e-44 +/- 4.35e-124]
trow 80 13385427457/5888000000 134433840891/58880000000 upper [-2.4221075450278575316196290457524824534008520869078654404030711801089063978766444e-44 +/- 3.34e-124]
trow 81 134433840891/58880000000 33753351803/14720000000 upper [-1.1741492534609700408650425827366415716469112753800931076675846614957773029172878e-44 +/- 3.88e-124]
trow 82 33753351803/14720000000 135592973533/58880000000 upper [-5.6754472762889892479378967335414496056695302875461038623920809935774701139726140e-45 +/- 3.93e-125]
trow 83 135592973533/58880000000 68086269927/29440000000 upper [-2.7354259362346996225102918041335051550598438652026458713790246819928451658852988e-45 +/- 1.82e-127]
trow 84 68086269927/29440000000 5470084247/2355200000 upper [-1.3146203248873305533174304267621117222419684928393328423868478597859394294127302e-45 +/- 3.04e-125]
trow 85 5470084247/2355200000 8583229531/3680000000 upper [-6.2998217799059303377040675699720638209720147097758308908948651630971085372747062e-46 +/- 1.29e-126]
trow 86 8583229531/3680000000 137911238817/58880000000 upper [-3.0103067221849199081599576706901000099676424592002707013011550844673185067182732e-46 +/- 2.95e-126]
trow 87 137911238817/58880000000 69245402569/29440000000 upper [-1.4343324498161291187968268078826137975548452048632873207345896594595744296645008e-46 +/- 1.74e-126]
trow 88 69245402569/29440000000 139070371459/58880000000 upper [-6.8147122559777688785889695320284855775072407761281019365827264087824802116722803e-47 +/- 2.15e-127]
trow 89 139070371459/58880000000 6982496889/2944000000 upper [-3.2285377665756864988922896704157504973235001722710664753059535337484098254059368e-47 +/- 4.67e-127]
trow 90 6982496889/2944000000 140229504101/58880000000 upper [-1.5252004096366270752919876085080987490078199866450089297963282669110878295009497e-47 +/- 3.36e-127]
trow 91 140229504101/58880000000 70404535211/29440000000 upper [-7.1847668691049501249017682554600139161250137870182196939993341818045616532325822e-48 +/- 4.92e-128]
trow 92 70404535211/29440000000 141388636743/58880000000 upper [-3.3749335169984149604861022928086779447145320794404714699263287483716879311613883e-48 +/- 2.94e-128]
trow 93 141388636743/58880000000 771566321/320000000 upper [-1.5808350850794223383606128185417643327443142112041733329930876803701887732462210e-48 +/- 4.07e-128]
trow 94 771566321/320000000 28509553877/11776000000 upper [-7.3837802739932886121369476597881244882305242877601620818925599984089155441468587e-49 +/- 4.76e-129]
trow 95 28509553877/11776000000 71563667853/29440000000 upper [-3.4390927141706588564383023547176159462947173470121803902408214939800680642506049e-49 +/- 4.08e-129]
