SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head 2e3943f8c587a9e204a18d9ab4dcde2ebf9710f9
unit mid_cover_25_109_2_219_4
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 109/2 219/4
t_domain 3/5 2273362671/730000000
cache_entries 265
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 68 422304291399/186880000000 42413965407/18688000000 upper [-4.3123121942696185817385513904456112992950122865385539458729362664943449006287302e-36 +/- 4.07e-118]
trow 69 42413965407/18688000000 425975016741/186880000000 upper [-2.4376416662171568138727686332171735987740114441440807526080060952482691967995276e-36 +/- 1.60e-116]
trow 70 425975016741/186880000000 106952594853/46720000000 upper [-1.3746771693435537432078328552292454448320940628557883552292222187479017645100792e-36 +/- 2.68e-116]
trow 71 106952594853/46720000000 429645742083/186880000000 upper [-7.7339848604606138841063472704134942019144705216362205387427474337555013095765786e-37 +/- 2.68e-117]
trow 72 429645742083/186880000000 215740552377/93440000000 upper [-4.3408864148533717428591284575483688810789552628764796404346942151085383025723842e-37 +/- 2.24e-117]
trow 73 215740552377/93440000000 17332658697/7475200000 upper [-2.4306744034836972093584019998770010984841854919179389152846459284457043247823428e-37 +/- 1.68e-117]
trow 74 17332658697/7475200000 27196989381/11680000000 upper [-1.3578416647879114731533942027580539624885175475199073783551935506020637215444533e-37 +/- 1.72e-117]
trow 75 27196989381/11680000000 436987192767/186880000000 upper [-7.5673862275801214424370830628717423057531442614194553682236014491432015854659912e-38 +/- 1.27e-118]
trow 76 436987192767/186880000000 219411277719/93440000000 upper [-4.2074434540871430915953805548961122582927281236472847649079077084641113564113316e-38 +/- 3.02e-118]
trow 77 219411277719/93440000000 440657918109/186880000000 upper [-2.3338161507454040096641510252556511572422199797854232822133689537711816263003176e-38 +/- 2.13e-118]
trow 78 440657918109/186880000000 22124664039/9344000000 upper [-1.2914914811360292515574518198028123359850310990467852025463182765796212197507252e-38 +/- 2.52e-118]
trow 79 22124664039/9344000000 444328643451/186880000000 upper [-7.1300661093957817569761412225606742146103092143320472952246549376304148159588970e-39 +/- 1.48e-119]
trow 80 444328643451/186880000000 223082003061/93440000000 upper [-3.9271112697704450764409615534742776536198115819005039159159119893605173808686375e-39 +/- 2.32e-119]
trow 81 223082003061/93440000000 447999368793/186880000000 upper [-2.1578968920899598507827086664524229769345985271273163367864218606169259746861386e-39 +/- 2.94e-119]
