SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_63_63p25_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 63 253/4
t_domain 3/5 7888229531/2530000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 94 1528879086049/647680000000 76762465779/32384000000 upper [-7.5458063179379996612952411274328139789649230328756022289011256756596375294809914e-44 +/- 1.20e-125]
trow 95 76762465779/32384000000 1541619545111/647680000000 upper [-3.7750395908286191728378664072507184413316301730435710448566883948492719572704361e-44 +/- 4.49e-124]
trow 96 1541619545111/647680000000 773994887321/323840000000 upper [-1.8833073024646384945617275405520409681928932151522971077086415572335864214319240e-44 +/- 1.77e-124]
trow 97 773994887321/323840000000 1554360004173/647680000000 upper [-9.3692240861052136885360104299290394777658355366821199229449962566389936453862372e-45 +/- 2.32e-125]
trow 98 1554360004173/647680000000 8482229531/3520000000 upper [-4.6480161738111967443308350208984029017663519622076139681927361132932703086281153e-45 +/- 6.69e-126]
trow 99 8482229531/3520000000 313420092647/129536000000 upper [-2.2993858286398864449262112378186275507538255128184182668654143150705570696272989e-45 +/- 3.41e-125]
trow 100 313420092647/129536000000 786735346383/323840000000 upper [-1.1343178781442855538337124374723449732658682561959411350024411973532845189982424e-45 +/- 4.09e-125]
trow 101 786735346383/323840000000 143621902027/58880000000 upper [-5.5800069691409055616648684869806320577964479483344463865642029638487624400071311e-46 +/- 4.25e-126]
trow 102 143621902027/58880000000 396552787957/161920000000 upper [-2.7372210343566672977774106063497119785081015574929700469051407335756650818417068e-46 +/- 1.07e-126]
trow 103 396552787957/161920000000 1592581381359/647680000000 upper [-1.3389307140033435205879437752271463677717341520985724689113992517042454092092635e-46 +/- 3.29e-126]
trow 104 1592581381359/647680000000 159895161089/64768000000 upper [-6.5309624023152021182675225918734999979518430617764343503245895999489961089059278e-47 +/- 4.65e-127]
trow 105 159895161089/64768000000 1605321840421/647680000000 upper [-3.1766151447737945126729753003685656298821693503164983624068520824325084351197502e-47 +/- 4.48e-128]
trow 106 1605321840421/647680000000 25182688593/10120000000 upper [-1.5406983906710998864157426172281713020847071714641503612628613691546736935498742e-47 +/- 1.37e-127]
trow 107 25182688593/10120000000 1618062299483/647680000000 upper [-7.4513210295456925674918922068605321385929684651725776303694133960108567062869532e-48 +/- 3.01e-128]
trow 108 1618062299483/647680000000 812216264507/323840000000 upper [-3.5934222699999830543981330260476612645283985884909603546704698803874896468138504e-48 +/- 4.17e-128]
trow 109 812216264507/323840000000 326160551709/129536000000 upper [-1.7279811146619121369579875346613333975980952813655788226332205221917919277753882e-48 +/- 5.69e-129]
trow 110 326160551709/129536000000 409293247019/161920000000 upper [-8.2855550449309649703263099398411050655388134271917548220518729420291251025846200e-49 +/- 4.15e-129]
trow 111 409293247019/161920000000 1643543217607/647680000000 upper [-3.9614283799919225755794526563277089452803388279863936133602919876197246980863678e-49 +/- 1.45e-129]
trow 112 1643543217607/647680000000 74996065779/29440000000 upper [-1.8885347384771388165770848580299172968463371921455270870403918538414299463287609e-49 +/- 3.67e-129]
trow 113 74996065779/29440000000 1656283676669/647680000000 upper [-8.9771002053572394142647182494285949906401394351802629745631764227890758996702551e-50 +/- 1.15e-130]
trow 114 1656283676669/647680000000 8313269531/3238400000 upper [-4.2548045099495780497939815988801042333032023409501870735807275562086152724240634e-50 +/- 4.41e-130]
trow 115 8313269531/3238400000 1669024135731/647680000000 upper [-2.0107107515238704172905353049881639984929865683057474483099126086716938198506431e-50 +/- 3.95e-130]
trow 116 1669024135731/647680000000 837697182631/323840000000 upper [-9.4741344448608290335937743008116606379792103131849468115902686081179462772521127e-51 +/- 2.11e-131]
trow 117 837697182631/323840000000 1681764594793/647680000000 upper [-4.4508438221187846732335233846595756707458677297179534035699653854028219074283535e-51 +/- 4.43e-131]
trow 118 1681764594793/647680000000 422033706081/161920000000 upper [-2.0847323941731410905978195647470340329146451753166872589401109366368032093075722e-51 +/- 7.53e-132]
trow 119 422033706081/161920000000 338901010771/129536000000 upper [-9.7354275142487888636931033470229625251394217498882624663909686761213905823531452e-52 +/- 3.96e-132]
trow 120 338901010771/129536000000 850437641693/323840000000 upper [-4.5325993714197330032019597625154076731551918520859111409967770833299139413830018e-52 +/- 3.10e-132]
trow 121 850437641693/323840000000 74228065779/28160000000 upper [-2.1038618420315317654472054655440447632935655540159612553866952135108782363658359e-52 +/- 1.91e-132]
trow 122 74228065779/28160000000 107100983903/40480000000 upper [-9.7353995278332611159575350765700232122974382887936191035414391425368083535145385e-53 +/- 1.01e-133]
trow 123 107100983903/40480000000 156362361089/58880000000 upper [-4.4910202179632360030302282094738579063803790327106610611083578454243231349623162e-53 +/- 2.96e-133]
trow 124 156362361089/58880000000 172635620151/64768000000 upper [-2.0652747631150640799595624523286718042826955959716645510056406577856159758634021e-53 +/- 2.93e-133]
trow 125 172635620151/64768000000 1732726431041/647680000000 upper [-9.4675735678964812307346360742132799552812775415765383506826419966512709911891077e-54 +/- 5.7e-136]
trow 126 1732726431041/647680000000 434774165143/161920000000 upper [-4.3262286043145601631051953557408573439978131337379427874626873811746415241988774e-54 +/- 3.59e-135]
trow 127 434774165143/161920000000 1745466890103/647680000000 upper [-1.9704834572285846231131427569252208767115272970272253133328099619463648854010585e-54 +/- 2.39e-135]
trow 128 1745466890103/647680000000 875918559817/323840000000 upper [-8.9455529014278848874888855492984021349819706291387981253659378578153277788917608e-55 +/- 5.32e-136]
trow 129 875918559817/323840000000 351641469833/129536000000 upper [-4.0474939873457076010663803268928315754048114932338893195586897237235856301777992e-55 +/- 4.98e-135]
trow 130 351641469833/129536000000 220572197337/80960000000 upper [-1.8250482292313385344305533541597689702746607164885795042035618615859469925249255e-55 +/- 4.57e-135]
trow 131 220572197337/80960000000 1770947808227/647680000000 upper [-8.2000796770963931935832830662386041343722767859912037441783086709402572849749575e-56 +/- 2.57e-136]
trow 132 1770947808227/647680000000 888659018879/323840000000 upper [-3.6705067900031649715244799340622308961814555854772630908769488405714105977227115e-56 +/- 2.90e-136]
trow 133 888659018879/323840000000 1783688267289/647680000000 upper [-1.6361531842875177369332469722661625563614111444446875075626847223752264955073857e-56 +/- 1.38e-137]
trow 134 1783688267289/647680000000 8136629531/2944000000 upper [-7.2569111035995884931186776353484532974717018344114725642742167349534755812774255e-57 +/- 4.33e-137]
trow 135 8136629531/2944000000 1796428726351/647680000000 upper [-3.1968736716064605362270176650293793998186554608788371696140827772904936936205304e-57 +/- 2.19e-137]
trow 136 1796428726351/647680000000 901399477941/323840000000 upper [-1.3930267296976808284943352853102109348704189792646812755984548594607007580582079e-57 +/- 8.83e-139]
trow 137 901399477941/323840000000 1809169185413/647680000000 upper [-5.9462002561937591524230862891419019836513517247105320321339246128634717579245065e-58 +/- 2.80e-138]
trow 138 1809169185413/647680000000 56735606717/20240000000 upper [-2.4260584953544542259272915355201382658978956157574833016214060959417903659112534e-58 +/- 8.50e-139]
