SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head f49b2ed398b695c1fef404e86ee445596a91bbcf
unit codex_mid24_62p75_63_20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 251/4 63
t_domain 3/5 654734467/210000000
cache_entries 291
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 67 14077954873/6720000000 37717457817/17920000000 upper [-4.5950347499383410690304543789772392679372975013922174530284194568328460547157468e-36 +/- 3.75e-116]
trow 68 37717457817/17920000000 8120079137/3840000000 upper [-2.4854632323658069319209854078171120134311297249259085380938729661440839082946647e-36 +/- 5.28e-117]
trow 69 8120079137/3840000000 22841968477/10752000000 upper [-1.3406377604660660409268743236194821997619445359596849217321162235531915302230624e-36 +/- 2.13e-116]
trow 70 22841968477/10752000000 9561548071/4480000000 upper [-7.2111023960374747727395500512850275667051875637306429622943349821356863934478274e-37 +/- 1.26e-117]
trow 71 9561548071/4480000000 115267311319/53760000000 upper [-3.8679316051321254109670090389758501148498750597879994652263219857911038307178887e-37 +/- 2.87e-117]
trow 72 115267311319/53760000000 57898022893/26880000000 upper [-2.0689195279095155446584266532447558551401328591989902765696912942140334366953651e-37 +/- 1.57e-117]
trow 73 57898022893/26880000000 38774926751/17920000000 upper [-1.1035622528046077402754601071951109301824834426215397381634408217606183092384374e-37 +/- 3.73e-117]
trow 74 38774926751/17920000000 730334467/336000000 upper [-5.8700148105495923429796481622474145912198699366584731635562578253563071188080769e-38 +/- 2.21e-118]
trow 75 730334467/336000000 16768892741/7680000000 upper [-3.1136611975308722662402647247503805633775537708020738344162054655712101299769277e-38 +/- 3.07e-118]
trow 76 16768892741/7680000000 19651830609/8960000000 upper [-1.6470012600527564659498516622813285364212532521189500866269785520613846555394351e-38 +/- 1.15e-118]
trow 77 19651830609/8960000000 118439718121/53760000000 upper [-8.6877472863237668221480303283140677545164532200852387917880048551837394821526523e-39 +/- 2.92e-119]
trow 78 118439718121/53760000000 29742113147/13440000000 upper [-4.5699590897505577061642319477693198179303400388078527874852816406053221990050947e-39 +/- 2.31e-119]
trow 79 29742113147/13440000000 7966479137/3584000000 upper [-2.3972287177724297105725632931895111283327763948706849788971328759807170198056776e-39 +/- 3.70e-119]
trow 80 7966479137/3584000000 60012960761/26880000000 upper [-1.2540045060620758223850564358384990899184627179728159861389309971706502062793810e-39 +/- 4.45e-119]
trow 81 60012960761/26880000000 120554655989/53760000000 upper [-6.5415637865212398561314442376007796185260783268604692596595570096890702751525663e-40 +/- 4.60e-120]
trow 82 120554655989/53760000000 720734467/320000000 upper [-3.4029631848689112434916636162162176150489382464765827416427713407097340104280848e-40 +/- 3.89e-120]
trow 83 720734467/320000000 121612124923/53760000000 upper [-1.7653320026584541809226799512061756129439575359087975788637538813043179412691548e-40 +/- 3.63e-120]
trow 84 121612124923/53760000000 12214085939/5376000000 upper [-9.1324900861648487244755702699785456976998917597797304290956949600736853923829217e-41 +/- 1.88e-121]
trow 85 12214085939/5376000000 40889864619/17920000000 upper [-4.7113554213405978613169394973908938207684813661195937775663520156524174451869400e-41 +/- 3.34e-121]
trow 86 40889864619/17920000000 30799582081/13440000000 upper [-2.4237981508578476936032795251511743963963141011751276360068501204864771148171111e-41 +/- 4.50e-121]
trow 87 30799582081/13440000000 123727062791/53760000000 upper [-1.2434861783286827942779464893864048688869282673027493016382673192655551690874940e-41 +/- 8.60e-122]
trow 88 123727062791/53760000000 20709299543/8960000000 upper [-6.3617902367281944254612796773173801540504000156610267497410206890166270259533205e-42 +/- 1.95e-122]
trow 89 20709299543/8960000000 713054467/307200000 upper [-3.2457199262546189492290999736709569697924826182979320391933559783823722680659806e-42 +/- 2.13e-122]
trow 90 713054467/307200000 7832079137/3360000000 upper [-1.6513405486314981875090275124453812517708084767380451594009276177453666245333293e-42 +/- 2.16e-122]
trow 91 7832079137/3360000000 41947333553/17920000000 upper [-8.3782911384637688081967472570089831215826239636967223935588880174934397038525659e-43 +/- 2.09e-123]
trow 92 41947333553/17920000000 63185367563/26880000000 upper [-4.2390352783963500310650454043661614916756808369779007652648616264056918852462015e-43 +/- 2.93e-124]
trow 93 63185367563/26880000000 126899469593/53760000000 upper [-2.1388034758360744591717047635185586827708386173403116490488850429060043272467850e-43 +/- 2.27e-123]
trow 94 126899469593/53760000000 2123803401/896000000 upper [-1.0761340400282682799281395066714442983777951054357621728024625041282334526452571e-43 +/- 9.34e-124]
trow 95 2123803401/896000000 127956938527/53760000000 upper [-5.3994904509895653316251796054002783377176052972364451488723762709883241398285240e-44 +/- 1.63e-124]
trow 96 127956938527/53760000000 9177548071/3840000000 upper [-2.7016510525105592566534670791540980504832284579055563114268080705758912752940230e-44 +/- 2.34e-124]
trow 97 9177548071/3840000000 43004802487/17920000000 upper [-1.3480152759597002346335687578773270240184908159521481327132926670578098618072676e-44 +/- 3.13e-124]
trow 98 43004802487/17920000000 16192892741/6720000000 upper [-6.7073096382238080480922530768542931504737223926883475126364885457812309558407672e-45 +/- 3.1e-127]
trow 99 16192892741/6720000000 26014375279/10752000000 upper [-3.3280405906696125928431064659427686338679343430665600263633158878481795821252307e-45 +/- 9.75e-126]
