SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head 2e3943f8c587a9e204a18d9ab4dcde2ebf9710f9
unit mid_cover_26_219_4_55
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 219/4 55
t_domain 3/5 342575197/110000000
cache_entries 267
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 12 4048026379/3520000000 1674525591/1408000000 upper [-6.2690226358846347656511691602519262148750285674934019899723739138852480422532696e-16 +/- 1.65e-96]
trow 13 1674525591/1408000000 540575197/440000000 upper [-1.4150989020372886616630479320871994574291652314511826026253201711778465678087377e-16 +/- 1.28e-96]
trow 14 540575197/440000000 8925778349/7040000000 upper [-2.5634823257738348531931026918729879839086835228204535383291290541415288518194567e-17 +/- 4.57e-97]
trow 15 8925778349/7040000000 4601176773/3520000000 upper [-2.4316657525233996033108485994015523215195194786777270590247297142739334748600759e-18 +/- 4.58e-99]
trow 16 4601176773/3520000000 18681282289/14080000000 upper [-2.1141612740220402438899743096360968934462736140023219467869732630402306429164158e-17 +/- 1.35e-98]
trow 17 18681282289/14080000000 9478928743/7040000000 upper [-1.0765637218995752997799352453547047345130234323474496313098957952337266114206378e-17 +/- 5.00e-97]
trow 18 9478928743/7040000000 19234432683/14080000000 upper [-5.4213210058406238236466365293703200930617277682888313509596008624857046632394701e-18 +/- 2.37e-98]
trow 19 19234432683/14080000000 487775197/352000000 upper [-2.6998451043517814964701149344241615943527478898301531101407602266725743153964358e-18 +/- 3.91e-98]
trow 20 487775197/352000000 19787583077/14080000000 upper [-1.3296718699637924573515339904323811021090608444085239704637073166057055722113437e-18 +/- 3.69e-98]
trow 21 19787583077/14080000000 10032079137/7040000000 upper [-6.4762633793057284670949947082442408810056396687416998269307956205791530943154340e-19 +/- 4.02e-99]
trow 22 10032079137/7040000000 20340733471/14080000000 upper [-3.1194658980666484711232986890279804001033174718704128166082423798948573156068411e-19 +/- 2.24e-99]
trow 23 20340733471/14080000000 468575197/320000000 upper [-1.4859759478005793772128261965069903436975860678841718512457418004371763676393910e-19 +/- 3.61e-99]
trow 24 468575197/320000000 4178776773/2816000000 upper [-7.0003195282740572408471727049790683816179979939504546368865743092741426444193784e-20 +/- 3.02e-100]
trow 25 4178776773/2816000000 10585229531/7040000000 upper [-3.2613378332988969017474638609296141061989037272106644905599481383806965809496565e-20 +/- 3.19e-101]
trow 26 10585229531/7040000000 21447034259/14080000000 upper [-1.5025926260100931708842423630342869723534612596167226084653490065061912490405743e-20 +/- 1.21e-100]
trow 27 21447034259/14080000000 1357725591/880000000 upper [-6.8461782140867145251814529605103571339585684113927969160759967010638222815390459e-21 +/- 4.11e-101]
trow 28 1357725591/880000000 22000184653/14080000000 upper [-3.0846695752981777899378227272952610893858919879210524616994556890405451496769608e-21 +/- 2.34e-102]
trow 29 22000184653/14080000000 445535197/281600000 upper [-1.3743978346929430104636663141191667844076529722817506437409380496040156524317882e-21 +/- 3.07e-102]
trow 30 445535197/281600000 22553335047/14080000000 upper [-6.0554591622464435627148401590976283555838302092947787245915584182876682941741196e-22 +/- 2.53e-102]
trow 31 22553335047/14080000000 5707477561/3520000000 upper [-2.6381364323840687195015010273871066447448931713976885434057113059174379289113955e-22 +/- 2.47e-102]
trow 32 5707477561/3520000000 23106485441/14080000000 upper [-1.1364361808695034632442513133304402541952402205232640784924160425868718134663018e-22 +/- 6.29e-103]
trow 33 23106485441/14080000000 11691530319/7040000000 upper [-4.8402522715309341472296165725829377190562013285607184601591590746399040533441951e-23 +/- 2.90e-103]
trow 34 11691530319/7040000000 430175197/256000000 upper [-2.0381712546720807677367287829978088584250072659577419018451473359976215616763201e-23 +/- 4.82e-103]
trow 35 430175197/256000000 2992026379/1760000000 upper [-8.4846269834750462323875028349570187595616784161044891001130356978598000009201382e-24 +/- 2.11e-104]
trow 36 2992026379/1760000000 24212786229/14080000000 upper [-3.4914728242319520450483739992181767894637451934903316062483862603551357043302398e-24 +/- 3.58e-105]
trow 37 24212786229/14080000000 12244680713/7040000000 upper [-1.4201268628673677976180980220737271045357360662224898370684083309229500696474384e-24 +/- 4.52e-104]
trow 38 12244680713/7040000000 24765936623/14080000000 upper [-5.7087160267872753871328158959603599058975159838549390219390215693667642005098453e-25 +/- 4.88e-105]
trow 39 24765936623/14080000000 1252125591/704000000 upper [-2.2676997511809557933217788453114655634591877936807878688672610655353429530036824e-25 +/- 1.65e-105]
trow 40 1252125591/704000000 25319087017/14080000000 upper [-8.9002258901786303586626642796979559891488754671238570389169638009583042876745729e-26 +/- 4.17e-106]
trow 41 25319087017/14080000000 12797831107/7040000000 upper [-3.4506896787422769848852809431479552774522595918796496390504638731041817419066385e-26 +/- 1.02e-106]
trow 42 12797831107/7040000000 25872237411/14080000000 upper [-1.3213108623576862863797188373398258540608661472783883733035068840400127271132102e-26 +/- 1.87e-106]
trow 43 25872237411/14080000000 408575197/220000000 upper [-4.9955909141136918622781792626509792627049867883721789058354355803061147763337137e-27 +/- 6.89e-108]
trow 44 408575197/220000000 5285077561/2816000000 upper [-1.8643073753806714761267760457613392505559939843054370855500845517002453908015108e-27 +/- 2.39e-107]
