PROVENANCE git_head 8b4a17c0681601d0d433ed769d23ce8daa8269a9
PROVENANCE python 3.12.6
PROVENANCE python_flint 0.9.0
PROVENANCE arb_bits 140
DEPENDENCY scripts/certify_right_edge_beta_taylor_cached_extension.py 54b7f122f62d60c0a7a6f2f875708ea5be9161df1939a1db815910d62a02495b
DEPENDENCY scripts/certify_right_edge_beta_taylor_cached_design.py 205a83c5487cc936a2f91ce6551ca2f44fa78f983beb21b0d572e95b6549c9b4
DEPENDENCY scripts/certify_right_edge_beta_taylor_arb.py d614f97a120b13b8cb02b00f6906fd76780c6c329062cdc71fec499083137cdc
DEPENDENCY scripts/certify_bulk_beta_taylor_arb.py f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
CONFIG unit 20_22p62 beta 20/1 1131/50 step 1/100 splice 1/1000 beta_order 12 d_order 9 CWIN 3/2
beta-box [22.618125,22.61875]: normalized=1 regular=21
narrowing beta step to 0.000625 at beta=22.61875 (right-edge failure near d=0.0009990234375)
narrowing beta step to 0.0003125 at beta=22.61875 (right-edge failure near d=0.0009990234375)
beta-box [22.61875,22.6190625]: normalized=1 regular=21
beta-box [22.6190625,22.619375]: normalized=1 regular=21
narrowing beta step to 0.0003125 at beta=22.619375 (right-edge failure near d=0.0009990234375)
beta-box [22.619375,22.6196875]: normalized=1 regular=21
narrowing beta step to 0.00015625 at beta=22.6196875 (right-edge failure near d=0.0009990234375)
beta-box [22.6196875,22.61984375]: normalized=1 regular=21
beta-box [22.61984375,22.62]: normalized=1 regular=21
CERTIFIED RIGHT-EDGE COMPACT EXTENSION UNIT 20_22p62 beta_boxes 276 normalized_boxes 276 regular_boxes 5292
