SCALED BULK SIGN ROW UNIT82 TERMINAL ORDER30 SLICE
python 3.12.6
python_flint 0.9.0
arb_bits 220
git_head 5af9e9c8b4f6b62b967552ffa01920fddf9194fc
unit slice2
config CWIN 3/2 beta_order 30 t_order 35 min_dt 1/100000 prec 220
beta_domain 1101/16 1103/16
t_domain 3/5 34411767481/11030000000
dependency scripts/run_surface_g2_unit82_terminal_slice.py sha256 0bb37f799e1547ee1ef5964e67aea0bf2ad62546f031f7e5a02341c5c4a40cbe
dependency scripts/run_surface_scaled_bulk_cwin3p2_unit82_rescue_order30_slice.py sha256 823936a50539062514b4f5901add0f05d0bc3b3e35c4a1ec6c19fadab19c57b9
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
trow 65 117265462443/56473600000 5891066889631/2823680000000 upper [-2.5852411559981299296522928075039390769894044248472026136067266509022226661463638e-38 +/- 5.84e-119]
trow 66 5891066889631/2823680000000 739857582139/352960000000 upper [-1.3282561342991531704112182758022493712636570503169944126713716996707877904293797e-38 +/- 2.36e-119]
trow 67 739857582139/352960000000 5946654424593/2823680000000 upper [-6.8039425241701382812943417436481881819701161089414437854868130724106066502315952e-39 +/- 2.95e-120]
trow 68 5946654424593/2823680000000 2987224096037/1411840000000 upper [-3.4748754464782824417952238677429147681300969842201127921797661325385638903393510e-39 +/- 6.52e-121]
trow 69 2987224096037/1411840000000 1200448391911/564736000000 upper [-1.7693730845973951927934178682795954335458865704181292700329075858948316920374051e-39 +/- 5.66e-120]
trow 70 1200448391911/564736000000 1507508931759/705920000000 upper [-8.9826176716635105386775278449678587471616207935980251241567263538931703345838485e-40 +/- 3.84e-120]
trow 71 1507508931759/705920000000 6057829494517/2823680000000 upper [-4.5466495931103018891959182084554862974263204381818890662930616216940427946764704e-40 +/- 4.40e-121]
trow 72 6057829494517/2823680000000 3042811630999/1411840000000 upper [-2.2944938901054688755624578784048892425104640971650490745866553555172659304822961e-40 +/- 2.19e-120]
trow 73 3042811630999/1411840000000 6113417029479/2823680000000 upper [-1.1544919859119233947277981049067879058299821975572824407021023160455522277854268e-40 +/- 4.01e-120]
trow 74 6113417029479/2823680000000 38382567481/17648000000 upper [-5.7916895972293388335961554393801080136228564117131448539365725674747550495668611e-41 +/- 2.78e-122]
trow 75 38382567481/17648000000 6169004564441/2823680000000 upper [-2.8968881194709605449912252462984991730537017868200079945848690128866749472536710e-41 +/- 2.16e-121]
trow 76 6169004564441/2823680000000 3098399165961/1411840000000 upper [-1.4446811233354627651424663174606796395082300109157068719845919094132084897734728e-41 +/- 4.05e-121]
trow 77 3098399165961/1411840000000 6224592099403/2823680000000 upper [-7.1833634414235536002693215715896442870515240399528365483503094875023795599751473e-42 +/- 2.16e-123]
trow 78 6224592099403/2823680000000 1563096466721/705920000000 upper [-3.5612379269430209611016689358821854479217763804119326934551640386136849503237462e-42 +/- 2.40e-122]
trow 79 1563096466721/705920000000 1256035926873/564736000000 upper [-1.7603262831073743258320966039031504766260100437647276420757782649608473551853111e-42 +/- 1.06e-122]
trow 80 1256035926873/564736000000 3153986700923/1411840000000 upper [-8.6757317325866328774376687662370045836867069501265797636254754572835642043551012e-43 +/- 3.53e-123]
trow 81 3153986700923/1411840000000 6335767169327/2823680000000 upper [-4.2632572618909707018056818283481960310909448690251036416159762673177010847725010e-43 +/- 1.87e-123]
trow 82 6335767169327/2823680000000 795445117101/352960000000 upper [-2.0888207101060724833583168037540898994830346267051008417178678460795348713063025e-43 +/- 4.80e-125]
trow 83 795445117101/352960000000 6391354704289/2823680000000 upper [-1.0204381829813199367837444505365428841871739720285332793910452200940043754716311e-43 +/- 3.64e-123]
trow 84 6391354704289/2823680000000 641914847177/282368000000 upper [-4.9704974466367880491396704038310860032238768035633052438073026140834153119444429e-44 +/- 2.05e-124]
trow 85 641914847177/282368000000 6446942239251/2823680000000 upper [-2.4140281512090351353711807360991158183401205515572257032585582682550216623301607e-44 +/- 1.25e-124]
trow 86 6446942239251/2823680000000 1618684001683/705920000000 upper [-1.1690035104056249075352497129880242938654526045163698555327413229320465295017471e-44 +/- 1.42e-124]
trow 87 1618684001683/705920000000 6502529774213/2823680000000 upper [-5.6444550341213614486046900467545414459995743460970047463881933785749318052644936e-45 +/- 1.88e-125]
trow 88 6502529774213/2823680000000 3265161770847/1411840000000 upper [-2.7174564175786936881527993223804000531634320734440556223633863146232976071426070e-45 +/- 2.67e-125]
trow 89 3265161770847/1411840000000 262324692367/112947200000 upper [-1.3044853945060841747639225528310071435828135364843329279608707458857062639048409e-45 +/- 1.06e-125]
trow 90 262324692367/112947200000 411619442291/176480000000 upper [-6.2438660301239385944760870364370796155492689401117890289286228709762484704371436e-46 +/- 3.41e-127]
trow 91 411619442291/176480000000 6613704844137/2823680000000 upper [-2.9799386269075738522247603931610230799791255437582477834478930489599186980689931e-46 +/- 4.60e-127]
trow 92 6613704844137/2823680000000 3320749305809/1411840000000 upper [-1.4180844796954272990039109754183261495946013610751351702964068936993082732987842e-46 +/- 2.65e-126]
trow 93 3320749305809/1411840000000 6669292379099/2823680000000 upper [-6.7288300867444956079725635306008956699437744335995254569193758504420067846858570e-47 +/- 8.41e-128]
trow 94 6669292379099/2823680000000 334854307329/141184000000 upper [-3.1836251984755083267557502037397181531854989692874788196697917719227746189377872e-47 +/- 3.99e-127]
trow 95 334854307329/141184000000 6724879914061/2823680000000 upper [-1.5019299785162049177952885979336160358765593534982248014285746311077469169368154e-47 +/- 3.12e-127]
trow 96 6724879914061/2823680000000 3376336840771/1411840000000 upper [-7.0652087297951480112712767690301940916259211078737408244546136173766425715860786e-48 +/- 4.19e-128]
trow 97 3376336840771/1411840000000 6780467449023/2823680000000 upper [-3.3139768485340037238257346990126585170139387687467336792147753571830199540349736e-48 +/- 4.57e-128]
trow 98 6780467449023/2823680000000 851032652063/352960000000 upper [-1.5499750319156175644246615627312184101769359468038576950466769452509440861791884e-48 +/- 4.80e-128]
trow 99 851032652063/352960000000 1367210996797/564736000000 upper [-7.2285679991358198484535931091869541380796964686190285572414778496455242651889082e-49 +/- 6.44e-130]
trow 100 1367210996797/564736000000 3431924375733/1411840000000 upper [-3.3615048969548703464025902780726196761546827308736228171868246261770727389299364e-49 +/- 3.41e-129]
trow 101 3431924375733/1411840000000 6891642518947/2823680000000 upper [-1.5587292777055454584046409525612510838162570986097371181280593701120553451308838e-49 +/- 1.72e-130]
trow 102 6891642518947/2823680000000 1729859071607/705920000000 upper [-7.2071681799545996449361041410974564314411911882994247751305037130490453011573157e-50 +/- 3.21e-130]
trow 103 1729859071607/705920000000 6947230053909/2823680000000 upper [-3.3228990693255130780986119227451624117767333916075380800792227757490929392111899e-50 +/- 4.06e-131]
trow 104 6947230053909/2823680000000 697502382139/282368000000 upper [-1.5276705044122956221468820826881155325553979663028493571895982592840972050152428e-50 +/- 4.45e-130]
trow 105 697502382139/282368000000 7002817588871/2823680000000 upper [-7.0033169915683217240119400032447476969240145057910043960277976627201834310360396e-51 +/- 4.03e-131]
trow 106 7002817588871/2823680000000 109853302443/44120000000 upper [-3.2014125019932755822044152133492344758566011607143998229056789060152024926504065e-51 +/- 7.14e-132]
trow 107 109853302443/44120000000 7058405123833/2823680000000 upper [-1.4592958123970774273712270685407930349361011638683051298453317093240718619667500e-51 +/- 3.12e-132]
trow 108 7058405123833/2823680000000 3543099445657/1411840000000 upper [-6.6330151267912580790295012674814575452813096560294635406468479466551796386088511e-52 +/- 3.47e-132]
trow 109 3543099445657/1411840000000 1422798531759/564736000000 upper [-3.0063948937316454770095633869165907474770370082087696797690351516793881423532116e-52 +/- 3.04e-132]
trow 110 1422798531759/564736000000 1785446606569/705920000000 upper [-1.3587822228432346970319340288693909774219837732014952004640976726020543612001093e-52 +/- 1.44e-132]
trow 111 1785446606569/705920000000 7169580193757/2823680000000 upper [-6.1238406527024096318798025760060902640098560508925178702104609323039808200569479e-53 +/- 4.25e-133]
trow 112 7169580193757/2823680000000 3598686980619/1411840000000 upper [-2.7521331059714254703799050004404376066226323520374656411697060160204351635643626e-53 +/- 1.09e-133]
trow 113 3598686980619/1411840000000 7225167728719/2823680000000 upper [-1.2333543651228543584132942970776350476646346721655609221986824737257688922303813e-53 +/- 2.42e-133]
trow 114 7225167728719/2823680000000 36264807481/14118400000 upper [-5.5116463236374069335024233731542130901100368477049382570261232171690082976162508e-54 +/- 2.56e-134]
trow 115 36264807481/14118400000 7280755263681/2823680000000 upper [-2.4561200137371158158475204485228197784127885184311072448639116899599122321149199e-54 +/- 4.18e-134]
trow 116 7280755263681/2823680000000 3654274515581/1411840000000 upper [-1.0914267634005723157928006456013443326699513745523511053497361640951407857596388e-54 +/- 2.77e-134]
trow 117 3654274515581/1411840000000 7336342798643/2823680000000 upper [-4.8363489589896406392598156169095313450863612014577117828359600063495842960829785e-55 +/- 1.82e-135]
trow 118 7336342798643/2823680000000 1841034141531/705920000000 upper [-2.1370756359348784644110401110846442499602544695903302228537250662786756312754177e-55 +/- 2.14e-135]
trow 119 1841034141531/705920000000 1478386066721/564736000000 upper [-9.4167823720085822793535096922677156206427266314645207103115981891604247593771627e-56 +/- 3.33e-136]
trow 120 1478386066721/564736000000 3709862050543/1411840000000 upper [-4.1377736365606936948048754433594088771627294297284813275220824999180401924813808e-56 +/- 1.79e-136]
trow 121 3709862050543/1411840000000 7447517868567/2823680000000 upper [-1.8130696618545639351506431967928476983409367256259492992153112750587438606853729e-56 +/- 9.51e-137]
trow 122 7447517868567/2823680000000 467206977253/176480000000 upper [-7.9221882507180100862237827408669983622172056990355625411700082158883443166741681e-57 +/- 1.74e-137]
trow 123 467206977253/176480000000 7503105403529/2823680000000 upper [-3.4519189488534985074436088793384487836169026279172784808048626897441464686638063e-57 +/- 1.17e-137]
trow 124 7503105403529/2823680000000 753089917101/282368000000 upper [-1.4998982465125779850234160004050341444460082271177456029814551132647204281459535e-57 +/- 2.02e-137]
trow 125 753089917101/282368000000 7558692938491/2823680000000 upper [-6.4990471452130192415352540698619618514348987770638767800876039486808190359246724e-58 +/- 3.00e-138]
trow 126 7558692938491/2823680000000 1896621676493/705920000000 upper [-2.8081878650965259597425662302172770061398825777495031134419996000169819225529443e-58 +/- 4.01e-138]
trow 127 1896621676493/705920000000 7614280473453/2823680000000 upper [-1.2100136606689004778960290777061531474581033868948206880958352268798540422583613e-58 +/- 1.03e-138]
trow 128 7614280473453/2823680000000 3821037120467/1411840000000 upper [-5.1992856743580093936753378705201516937838663688186894872297285494903565650309088e-59 +/- 8.94e-140]
trow 129 3821037120467/1411840000000 1533973601683/564736000000 upper [-2.2278561673821616637429441010801002965669270908586553579717380798058853404998720e-59 +/- 2.11e-139]
trow 130 1533973601683/564736000000 962207721987/352960000000 upper [-9.5196577253238079303634542358129395124994604887790545919463773467955228459781197e-60 +/- 2.22e-140]
trow 131 962207721987/352960000000 7725455543377/2823680000000 upper [-4.0564670962581366910613900150002807268346220643189961426752756401691916232959375e-60 +/- 2.64e-140]
trow 132 7725455543377/2823680000000 3876624655429/1411840000000 upper [-1.7237157529559448708259674098181461165873326705993936505417479096660451201552525e-60 +/- 4.04e-140]
trow 133 3876624655429/1411840000000 7781043078339/2823680000000 upper [-7.3042535347052875651040454446181218639074430384818506129346995451540465007535571e-61 +/- 1.65e-141]
trow 134 7781043078339/2823680000000 390441842291/141184000000 upper [-3.0865902415251512280624213262125261290921398217903764449472386059484384540474032e-61 +/- 1.75e-141]
trow 135 390441842291/141184000000 7836630613301/2823680000000 upper [-1.3006947191912253108373607216180057987219085388969515980317069414369510766896029e-61 +/- 2.38e-141]
