SCALED BULK SIGN ROW UNIT CWIN3P2 MID COVER
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head c2f03caa5af73629f584b41c756dd4a43b243b23
unit mid_cover_08_201_4_101_2
config CWIN 3/2 beta_order 20 t_order 25 min_dt 1/100000 prec 180
beta_domain 201/4 101/2
t_domain 3/5 3143008627/1010000000
cache_entries 257
dependency scripts/run_surface_scaled_bulk_cwin3p2_mid_cover.py sha256 ec105ab8a24be741cc3dc7f5d3dd77a684f1234c1cdc7b15062b8dcb5c980249
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-COVER-48P25-69-PREREG-20260722.md sha256 40149697fbb5dc15822b7346c3218bb59789095b37107dc13869f2414a90ee9e
trow 70 614334561487/258560000000 308435785057/129280000000 upper [-1.7748174456667419872768545531206121952918108262949048177886523639605215118056393e-36 +/- 8.77e-117]
trow 71 308435785057/129280000000 619408578741/258560000000 upper [-1.0243511875634443727746371299782515215991468731063490389811813004764378532347543e-36 +/- 4.02e-116]
trow 72 619408578741/258560000000 77743198421/32320000000 upper [-5.8994375079582295986402412154821830708022355019003418660614670601290291127023338e-37 +/- 2.01e-117]
trow 73 77743198421/32320000000 124896519199/51712000000 upper [-3.3903155293367789882097258095802262107055452087710334732223280778808721440534945e-37 +/- 4.77e-117]
trow 74 124896519199/51712000000 313509802311/129280000000 upper [-1.9441861050711643303039811682594690327038990928499759705689339110157180867635213e-37 +/- 3.94e-117]
trow 75 313509802311/129280000000 629556613249/258560000000 upper [-1.1125112140611751483545904315937851004141497867231977443300835728715044446342994e-37 +/- 3.05e-117]
trow 76 629556613249/258560000000 158023405469/64640000000 upper [-6.3524380350153223185555567146080249853752463121588889309497164147355449179544562e-38 +/- 8.57e-119]
trow 77 158023405469/64640000000 634630630503/258560000000 upper [-3.6194809496000150460024404933112189170962318157597273302140861317294722125502573e-38 +/- 4.73e-118]
trow 78 634630630503/258560000000 63716763913/25856000000 upper [-2.0578944749941310405145126367851420534975950803629668577832512767291837703515312e-38 +/- 1.94e-118]
trow 79 63716763913/25856000000 639704647757/258560000000 upper [-1.1675381484468784449981474198540481975686465426316248221370273686295922408179408e-38 +/- 1.30e-118]
trow 80 639704647757/258560000000 10035025881/4040000000 upper [-6.6098367816384573889605997194243444104689325687757870380242976940667710641548576e-39 +/- 4.16e-120]
trow 81 10035025881/4040000000 644778665011/258560000000 upper [-3.7340706411177965907577840678972237632334729801523013295747611483049008617885349e-39 +/- 4.08e-119]
trow 82 644778665011/258560000000 323657836819/129280000000 upper [-2.1049733819444089976091249420568525062938092205633802158805828579649473621828228e-39 +/- 8.93e-120]
trow 83 323657836819/129280000000 129970536453/51712000000 upper [-1.1840879341938193885701450048462686481599089865402716746707209744667820399491755e-39 +/- 1.13e-119]
trow 84 129970536453/51712000000 163097422723/64640000000 upper [-6.6465241038584364735407097352512665650716620428030429009625298582229805196262240e-40 +/- 2.44e-121]
trow 85 163097422723/64640000000 654926699519/258560000000 upper [-3.7228778865305826523137706235060672993035090956422533597757190297923410447645234e-40 +/- 3.95e-120]
trow 86 654926699519/258560000000 328731854073/129280000000 upper [-2.0808311161321631421377701301700722223480154332805118321891733803218528579640821e-40 +/- 1.41e-120]
trow 87 328731854073/129280000000 660000716773/258560000000 upper [-1.1605626233941507748445794831284700044734794688416899807362926590424459031843191e-40 +/- 2.53e-120]
trow 88 660000716773/258560000000 3312688627/1292800000 upper [-6.4591424820333707629984230422078936326295641555496447445086845533358188804003929e-41 +/- 1.16e-121]
trow 89 3312688627/1292800000 665074734027/258560000000 upper [-3.5871986111131432304566430594185950188785949323922236843464397314168239120317967e-41 +/- 4.56e-121]
trow 90 665074734027/258560000000 3305008627/1280000000 upper [-1.9879721055298958221853688618369584660084677389053269657826284484616280586669505e-41 +/- 3.14e-121]
trow 91 3305008627/1280000000 670148751281/258560000000 upper [-1.0993587097681463654786672030298021672909876180022796776322707637661450728470282e-41 +/- 2.19e-121]
trow 92 670148751281/258560000000 168171439977/64640000000 upper [-6.0665635051607742217825739461602102228500997342560167781504482700007175025668479e-42 +/- 3.86e-123]
trow 93 168171439977/64640000000 135044553707/51712000000 upper [-3.3405637648650688008901176965998365362706999415488622586715795519235470436644171e-42 +/- 3.63e-122]
trow 94 135044553707/51712000000 338879888581/129280000000 upper [-1.8355700610723583056022717852469610245925378256339942756543950978007634175726362e-42 +/- 4.26e-122]
trow 95 338879888581/129280000000 680296785789/258560000000 upper [-1.0064580067434472406925925839900132530709900068682083513829003499461430702339883e-42 +/- 1.74e-122]
trow 96 680296785789/258560000000 42677112151/16160000000 upper [-5.5067260899232967155642212966611622931706025814296426959414020133426991588161793e-43 +/- 9.92e-124]
trow 97 42677112151/16160000000 685370803043/258560000000 upper [-3.0065188763285097349470560299527290933326980164439354767535317819846355649102654e-43 +/- 3.13e-123]
trow 98 685370803043/258560000000 68790781167/25856000000 upper [-1.6379720176811826969447641767405009686733766648963338684389982288974747011419471e-43 +/- 2.91e-123]
trow 99 68790781167/25856000000 690444820297/258560000000 upper [-8.9047158309209048968884482510379722526226321981581397575326466307183712938918479e-44 +/- 5.32e-125]
trow 100 690444820297/258560000000 173245457231/64640000000 upper [-4.8306407955887806488484395071563345551164586466155440450013654330300839857087026e-44 +/- 2.34e-124]
trow 101 173245457231/64640000000 695518837551/258560000000 upper [-2.6149251851066727921057128274848805692552364778944281880968266724485791186118048e-44 +/- 4.56e-124]
trow 102 695518837551/258560000000 349027923089/129280000000 upper [-1.4124810788537794769438621293825341080778188111061792686067407730262574797184908e-44 +/- 8.04e-125]
trow 103 349027923089/129280000000 140118570961/51712000000 upper [-7.6133144608605704307803678084092344875275945627682760854553539509303460628961797e-45 +/- 1.82e-125]
trow 104 140118570961/51712000000 87891232929/32320000000 upper [-4.0947881311387042446696265954358534439740285600756467392224406822800668068887170e-45 +/- 3.87e-125]
trow 105 87891232929/32320000000 705666872059/258560000000 upper [-2.1976285683120485660090710510702745647386922216078421652354182729439700042223428e-45 +/- 3.97e-125]
trow 106 705666872059/258560000000 354101940343/129280000000 upper [-1.1769034011407686244307090499675841103094287823739185253434643975958859611806243e-45 +/- 1.39e-125]
trow 107 354101940343/129280000000 710740889313/258560000000 upper [-6.2891064830606840082967252154034195863403599886960493747719080967782366496957856e-46 +/- 4.18e-126]
trow 108 710740889313/258560000000 35663894897/12928000000 upper [-3.3534957296653812532547453754655557972490659019737372831942965827793659930220620e-46 +/- 2.52e-126]
trow 109 35663894897/12928000000 715814906567/258560000000 upper [-1.7842873498023327064599794987527736452522406713066840750712975639116590784386358e-46 +/- 2.18e-126]
