SCALED BULK SIGN ROW UNIT CWIN3P2 MID GENERIC
python 3.12.6
python_flint 0.9.0
arb_bits 180
git_head bc5b6375cf9744e2b0e2cbfd033b86bdc9facfaf
unit codex-mid24-48p5-48p75-20260723
config CWIN 3/2 beta_order 24 t_order 25 min_dt 1/100000 prec 180
beta_domain 97/2 195/4
t_domain 3/5 404407051/130000000
cache_entries 261
dependency scripts/certify_surface_scaled_bulk_cwin3p2_mid_generic.py sha256 58a2964b44cfc9e868bd5e77448a53b91b05ec3a140e35d1d520576aeadc9dba
dependency scripts/certify_bulk_beta_taylor_scaled_design.py sha256 32a00917b4903d95df331724a7fd5ec5ab3e152228952cd0cdce7ed512a7cc9d
dependency scripts/certify_bulk_beta_taylor_arb.py sha256 f69cfaadd311218a749039a64ad4ae3a68e4bd3e0527be5ac75744955f97b9aa
dependency docs/SURFACE-G2-CWIN3P2-MID-PREREG-20260722.md sha256 b3d2834255ecb83ff4ddb907b5d834daee958f2091f11b97c05b82657fa8814a
trow 75 82311746741/33280000000 1291221153/520000000 upper [-1.0049921389366052846892151725937218738101573632348290347237686343379950718454340e-37 +/- 2.80e-117]
trow 76 1291221153/520000000 82964560843/33280000000 upper [-5.7978013212946557831979278713862025996798179573901093783025676828072807524679469e-38 +/- 8.03e-119]
trow 77 82964560843/33280000000 41645483947/16640000000 upper [-3.3378934914867542475959979867612150186331292343511191132952530766767546121039064e-38 +/- 6.17e-119]
trow 78 41645483947/16640000000 1286421153/512000000 upper [-1.9177471115506259942732276515398058646672731858901251964469594193996263576189651e-38 +/- 3.69e-118]
trow 79 1286421153/512000000 20985945499/8320000000 upper [-1.0995628620811291361492389428279005137757039453563589416283931967515961279111272e-38 +/- 4.21e-118]
trow 80 20985945499/8320000000 84270189047/33280000000 upper [-6.2915708829201612240124473974053718486586861201633178924336230391132933723382891e-39 +/- 3.47e-119]
trow 81 84270189047/33280000000 42298298049/16640000000 upper [-3.5925999460484120553000815943889443238732895544066798579358371124547517181773443e-39 +/- 2.00e-119]
trow 82 42298298049/16640000000 84923003149/33280000000 upper [-2.0472429826945994055878789736402085766032538601106425600589827528251801725536898e-39 +/- 1.91e-119]
trow 83 84923003149/33280000000 426247051/166400000 upper [-1.1642380500895506364035725739995572046665322245407462612589949798347959164330628e-39 +/- 1.85e-119]
trow 84 426247051/166400000 85575817251/33280000000 upper [-6.6073293853360815439234761621753450962599636184486817351082882930839100772193640e-40 +/- 4.99e-121]
trow 85 85575817251/33280000000 42951112151/16640000000 upper [-3.7421582977106723774937136518518184133714650332366917192232633695472193168837240e-40 +/- 4.40e-120]
trow 86 42951112151/16640000000 86228631353/33280000000 upper [-2.1150984956848022281640385370156219128658200111050215371318397817016881064995834e-40 +/- 1.83e-120]
trow 87 86228631353/33280000000 21638759601/8320000000 upper [-1.1930291746117128915013983066678622777899814876501414294988626781559822648216005e-40 +/- 9.67e-121]
trow 88 21638759601/8320000000 17376289091/6656000000 upper [-6.7155947059109012295315791498295384102968883587013093494571478597288939134150633e-41 +/- 3.64e-121]
trow 89 17376289091/6656000000 43603926253/16640000000 upper [-3.7725105027150836103285596974944153470813453726108416817594801564288033330285348e-41 +/- 1.76e-121]
trow 90 43603926253/16640000000 87534259557/33280000000 upper [-2.1148959625803266449702031123864758529807814966613054875747670690227502779342227e-41 +/- 4.63e-121]
trow 91 87534259557/33280000000 422407051/160000000 upper [-1.1832051970314726158014100904342686465618996244540627815783055214226904859744671e-41 +/- 2.25e-121]
trow 92 422407051/160000000 88187073659/33280000000 upper [-6.6060689586182406344774110572330194278553822737058648727335211654674443135447551e-42 +/- 4.56e-122]
trow 93 88187073659/33280000000 8851348071/3328000000 upper [-3.6807707186538604425115024970648889758663071325795656067975942945174196640669143e-42 +/- 2.26e-122]
